epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae
1,-0.19388730724652609,4129.692458358816,5856.85053352591,896.0382561991756,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,1.0,1726.0013738064727,1933.4674615392903,36594.688353457634,1.0,79,5851.835377592315,3987.8679374189223,23,5874.043892308214,4616.828856369754
2,-0.3807806928952535,3649.033993033526,5681.75626606964,670.2032718557759,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.9705882352941176,1365.1231250569347,1487.632726330334,27614.34524537793,1.0,79,5574.1221075875455,3319.3167983219028,23,6036.857773503796,4781.5408792169255
3,-0.5722871263821919,3661.252470149936,5659.0687506108225,34.12592961255566,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.9411764705882353,1131.6048725169042,1164.5937593706824,19974.169236143855,1.0,79,5576.966667217403,3335.211926570572,23,5932.423843990601,4781.130858966013
4,-0.733974281946818,4099.181275353622,5786.266757916163,-1097.6700820574301,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.8823529411764706,1063.6985964641976,1024.9674331208387,15320.435008733948,1.0,79,5801.606814283637,3981.7525221040764,23,5733.264404327081,4502.523514775974
5,-0.7891061464945476,3716.5403432938597,5679.67859779749,32.86628250086648,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.8137254901960784,1005.0303773732242,1041.9690393544158,13674.498347133745,1.0,79,5624.836689377893,3382.781697298347,23,5864.143662547405,4862.928736061055
6,-0.8577189803123474,4410.723783082117,5875.728167849419,-1225.8855132429983,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.8137254901960784,1092.5294665344857,913.6281310796844,12912.056437660372,1.0,79,5931.259307026219,4364.684339870949,23,5680.857991089181,4568.859261937864
7,-0.8496064225832621,4321.817105239666,5808.21097923042,-986.3135443851078,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.803921568627451,1104.9413277234387,885.2348413296525,12658.679466330088,1.0,79,5907.05474317651,4312.23438777737,23,5455.080376851516,4354.731656523204
8,-0.8651769677797954,4253.542395150217,5801.190313763808,-1407.0820914305752,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.803921568627451,1073.5635035989583,909.4984252775182,12953.80147824923,1.0,79,5916.180815979223,4261.187924412449,23,5387.562502097775,4227.281664206029
9,-0.9063205718994141,4142.2813532088685,5694.860139442256,-776.1027638522758,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.7843137254901961,1086.0935038790517,889.6050023603502,11911.195495253727,1.0,79,5786.162411583239,4104.506455257199,23,5369.445376557351,4272.029915738517
10,-0.8909657001495361,3872.4462444111978,5558.815008290225,-588.2685129531344,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.7647058823529411,1050.3031239419681,889.2484903109005,11869.266981097055,1.0,79,5614.118701738502,3799.2225459547026,23,5364.518306721534,4123.953730413943
