group,n_features,epochs,scale_multiplier,val_rmse,val_smart_rmse,val_hard_rmse,val_hard_smart_rmse,val_stable_rmse,val_stable_smart_rmse,val_coverage_80,test_rmse,test_smart_rmse,test_hard_rmse,test_hard_smart_rmse,test_stable_rmse,test_stable_smart_rmse,test_coverage_80
global,61,20,1.3195398151874542,4307.497366314248,4458.227906319658,5611.0742333933,5915.578924011606,3757.683752357861,3832.861476178469,0.9005376344086021,5117.725434817013,5181.455931818419,6520.364832306233,6566.094607512983,4772.923427414051,4842.444897817307,0.8778801843317973
weighted,97,15,1.329582303762436,4508.428019938782,4458.227906319658,5514.943815782374,5915.578924011606,4106.81213242363,3832.861476178469,0.9005376344086021,5365.398640273116,5181.455931818419,6339.592919418212,6566.094607512983,5138.606196076585,4842.444897817307,0.8870967741935484
all,133,32,1.6705030798912048,4413.484853935045,4458.227906319658,5636.534947213895,5915.578924011606,3906.826235875698,3832.861476178469,0.9005376344086021,5332.085190865833,5181.455931818419,6089.854423188723,6566.094607512983,5159.742651994726,4842.444897817307,0.9170506912442397
