epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae
11,-1.7379248330467625,2573.629376666531,4430.657521032574,351.76850104489733,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8494623655913979,645.3739662888399,648.9404749806233,8208.426581435519,1.0,59,1357.1846187174567,784.5914590726488,79,5732.864483103878,3416.7543570952885,218,4364.7627984294795,2678.294986961312,16,5270.260480187068,3581.708166660581
12,-1.7510341761405008,2635.720817884215,4546.617908792904,-521.2107096954346,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7338709677419355,658.2809254046257,732.6161202804684,6468.4731462813925,1.0,59,1379.333738767962,703.2700043968043,79,6137.229179157644,3894.3488253649366,218,4314.825655483945,2595.102401044554,16,5827.681971924707,4100.583335123374
13,-1.7604332367579143,2543.8470929266873,4499.015187708218,-355.9713219865005,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.771505376344086,644.7779591266568,724.8517505832001,6313.302256165573,1.0,59,1300.1751115337113,602.7474147458403,79,6071.0556382467985,3691.383763857831,218,4284.244302922028,2547.0072427861883,16,5683.701484234975,3992.6328016603366
14,-1.7649364732859427,2487.633641579059,4371.446895947926,96.3110876592002,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7580645161290323,682.8204771788246,670.3379472444282,6058.648032079068,1.0,59,1262.6410548198055,579.9230301691874,79,5716.35835154271,3393.540193404171,218,4279.880613898663,2603.675487439846,16,5244.273475234319,3468.3327716632484
15,-1.7768825878176773,2522.215181347189,4448.544251854113,-83.80565138353246,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,664.4172260192825,706.4588492294067,6629.041557212543,1.0,59,1260.97330420207,574.249077794659,79,5936.837097790057,3542.8634008402305,218,4298.950146403618,2599.5368714432293,16,5330.391710136048,3612.381576891712
16,-1.8108860421599002,2498.307842640466,4440.733471931564,8.710137173843547,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.771505376344086,651.4094662352182,687.8456980613001,6217.140072624861,1.0,59,1307.899902122193,677.3173259467368,79,5815.236397332906,3345.657501217893,218,4334.301539590896,2599.1711936209795,16,5408.5048559094585,3655.1582766130596
17,-1.8244070149304574,2552.4037878358736,4422.975075018966,266.75546391737566,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.760752688172043,654.9641579017539,680.4471206239538,6263.365307624128,1.0,59,1281.2121600099426,625.3424597799194,79,5792.9207960305375,3378.4982780428218,218,4313.164184644975,2684.7533737481613,16,5442.105678947756,3776.337781590468
18,-1.8157295469652142,2543.4579902712007,4413.499746830004,31.877512198102277,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7553763440860215,652.4637496550135,674.6750076736231,6176.728784960995,1.0,59,1283.1196577179905,600.6831320678082,79,5783.815791592489,3529.787730056861,218,4313.869109769334,2629.516983536734,16,5299.940888958457,3664.883406461624
19,-1.833767008363155,2626.1295375970976,4504.758454781157,31.474756011789697,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.771505376344086,660.3867305356721,701.5864969796605,6990.426779243301,1.0,59,1275.2253552821087,590.0265310173656,79,5855.856275491581,3641.172229880092,218,4434.45601430848,2738.1930402779426,16,5345.3341284028065,3595.6208571860625
20,-1.8442385008460598,2596.4936564832474,4445.403826425181,500.3277846934613,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7741935483870968,643.2698410637722,698.0520552415841,6757.114705333204,1.0,59,1308.9070543408664,709.4080442985662,79,5796.06208514544,3496.8675718445843,218,4358.864498988369,2704.6442100806526,16,5328.888046822837,3635.9743515530135
21,-1.8453121185302734,2568.3093300967585,4475.084996849189,74.1245322212673,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7876344086021505,638.2221482228096,724.6061777790514,6433.3293098727145,1.0,59,1248.8177919444145,564.5850505206489,79,6004.6492521891605,3673.792358019466,218,4340.25450982885,2644.0264964348135,16,5017.162282624601,3467.073769309296
22,-1.8380818785282604,2638.4900338183998,4530.84660340888,216.9257985024128,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7661290322580645,666.680486078126,700.6881608361538,6371.174784553506,1.0,59,1285.0446568876955,632.4791852708006,79,6026.074088421564,3718.6482758499346,218,4403.334659128775,2702.463288804689,16,5265.143431991994,3830.7381186187704
23,-1.8450706318805092,2653.2996286948182,4598.856056536277,101.60122631448702,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7849462365591398,622.2380307566386,727.4461327511242,7415.030435015736,1.0,59,1290.0878585647588,670.2635666871033,79,6041.36577863517,3715.9746693060542,218,4482.676471253376,2695.1895432804045,16,5620.740519289719,4148.037008101674
24,-1.8548366730673271,2521.3638115912668,4449.449589311674,204.20496851686798,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7795698924731183,639.1276500118229,700.4136521850281,6615.64957842902,1.0,59,1247.200425952923,559.8806478054602,79,6040.698153880381,3546.3925659304996,218,4262.329484902328,2614.1220389391474,16,5182.394547718086,3429.422655886592
25,-1.8922273150661535,2604.1280400210753,4569.91174444553,224.11006716630934,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.75,650.7947127843896,739.6378720850488,6036.9469840121765,1.0,59,1291.5322689731515,743.2935260593007,79,5932.141249356413,3483.2448172436266,218,4504.297030689861,2699.279507783842,16,5405.431080139601,3828.877474451074
26,-1.9160276191276417,2581.39742818663,4539.108009367179,403.6237203203383,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.782258064516129,685.4972407420763,708.7440366033258,6605.384091937039,1.0,59,1314.012925880518,701.2880769378695,79,5924.315202631769,3459.9745348697643,218,4457.92663424784,2706.4781879879765,16,5347.838964686485,3472.100844375105
