epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.8088056547077078,2679.2119853453555,4379.396479929001,-809.4677196914291,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8333333333333334,724.7425682366356,779.2878755307073,8548.48466790835,1.0,59,1814.8847451680283,1379.9777588514232,1372.4054351951054,734.1587812992193,79,5761.4148995398755,3572.779241519662,5982.17175572876,3359.443863768336,218,4229.01687421619,2653.458982278605,4261.106804488931,2543.4821192256354,16,5118.215994751692,3409.034534965569,5575.12946207253,3750.2221221733394,95,5658.209117295609,3545.2011856789727,5915.578924011606,3425.2591493944415,277,3844.0604674958413,2382.2120790937543,3832.861476178469,2158.102780100514
2,-1.094688809231708,2678.046511068419,4338.945190416642,-355.22116376375214,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8333333333333334,673.5029501693183,724.1960875257297,8230.242459222725,1.0,59,1823.0460578322873,1499.5819585401548,1372.4054351951054,734.1587812992193,79,5707.766101173273,3722.0886496780986,5982.17175572876,3359.443863768336,218,4170.236086141747,2557.2539771366255,4261.106804488931,2543.4821192256354,16,5258.522824049147,3514.474763951788,5575.12946207253,3750.2221221733394,95,5634.6128733104915,3687.122100503141,5915.578924011606,3425.2591493944415,277,3794.017599425714,2331.973655486114,3832.861476178469,2158.102780100514
3,-1.1406443087678206,2610.2530468880245,4345.811392503697,130.13999854294087,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8682795698924731,648.9790100377694,685.5680935631387,9328.433594666456,1.0,59,1442.2700927426156,959.2774661736823,1372.4054351951054,734.1587812992193,79,5653.692681135853,3501.7483875451308,5982.17175572876,3359.443863768336,218,4261.730567299848,2671.46523140105,4261.106804488931,2543.4821192256354,16,5113.250592684177,3462.451242287716,5575.12946207253,3750.2221221733394,95,5566.346566799033,3495.1299209754607,5915.578924011606,3425.2591493944415,277,3838.866492584503,2306.775418590889,3832.861476178469,2158.102780100514
4,-1.2146822768345213,2602.8409641895246,4338.55900985853,238.43505781395817,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8198924731182796,633.5473201240709,666.5705805680775,7431.712954157435,1.0,59,1383.2167585965142,907.9704059582535,1372.4054351951054,734.1587812992193,79,5625.859341420917,3432.9025215417055,5982.17175572876,3359.443863768336,218,4272.603019574232,2704.3744815301056,4261.106804488931,2543.4821192256354,16,5057.878147659753,3370.8530344755272,5575.12946207253,3750.2221221733394,95,5534.282889629135,3422.45208161477,5915.578924011606,3425.2591493944415,277,3843.7458218373886,2321.74689864657,3832.861476178469,2158.102780100514
5,-1.2496632117974131,2555.900107510434,4334.965285874166,-212.96722351211997,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8118279569892473,629.168034057533,647.4594308989494,7819.638622898834,1.0,59,1396.544443730354,867.968368227199,1372.4054351951054,734.1587812992193,79,5684.405473455432,3623.360068065964,5982.17175572876,3359.443863768336,218,4232.22756460531,2572.6325395381987,4261.106804488931,2543.4821192256354,16,5111.748578790717,3281.585454496133,5575.12946207253,3750.2221221733394,95,5592.066144731216,3565.7980278857817,5915.578924011606,3425.2591493944415,277,3809.465401719832,2209.545225071235,3832.861476178469,2158.102780100514
6,-1.2712784179469996,2543.4162938917634,4353.124033416703,139.0845872013091,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8064516129032258,629.0646965969014,642.7610207825935,7689.316399471801,1.0,59,1321.7529152222867,747.2856090737515,1372.4054351951054,734.1587812992193,79,5592.285232785219,3436.329812200254,5982.17175572876,3359.443863768336,218,4315.248742606841,2632.229194238057,4261.106804488931,2543.4821192256354,16,5099.82676289545,3547.811930291762,5575.12946207253,3750.2221221733394,95,5512.4265399531605,3455.1057478788234,5915.578924011606,3425.2591493944415,277,3876.4930037589747,2230.7430154485482,3832.861476178469,2158.102780100514
7,-1.3174074302639878,2666.003691435514,4400.784113089024,458.1279638754587,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.803763440860215,638.0420904851736,633.5976332341462,7607.728295994199,1.0,59,1293.9605821947237,706.4822127308412,1372.4054351951054,734.1587812992193,79,5655.919378641894,3650.085929683653,5982.17175572876,3359.443863768336,218,4378.3560380804165,2788.8079839107504,4261.106804488931,2543.4821192256354,16,4996.727370548791,3359.6246078337135,5575.12946207253,3750.2221221733394,95,5550.382678174939,3601.1661281089264,5915.578924011606,3425.2591493944415,277,3929.820295759446,2345.2801120709864,3832.861476178469,2158.102780100514
8,-1.3383835020818209,2574.513377766016,4354.363118227213,-26.133734100087324,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8198924731182796,620.296870306142,613.4615807946784,7476.818468618985,1.0,59,1340.4457676538266,722.8637953735612,1372.4054351951054,734.1587812992193,79,5696.047954077978,3692.236249494546,5982.17175572876,3359.443863768336,218,4270.815929707131,2614.1207751618645,4261.106804488931,2543.4821192256354,16,5048.784395227468,3344.063744160143,5575.12946207253,3750.2221221733394,95,5592.283784709819,3633.5966696487517,5915.578924011606,3425.2591493944415,277,3838.952114417598,2211.289866109482,3832.861476178469,2158.102780100514
9,-1.362801312354573,2608.4362415363194,4370.246476353005,192.6265718803551,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.803763440860215,632.2245608129864,625.6946979645749,7191.093371007688,1.0,59,1358.7414647988458,687.6810659343234,1372.4054351951054,734.1587812992193,79,5666.04371903552,3701.824736995191,5982.17175572876,3359.443863768336,218,4311.468035264158,2673.83974564622,4261.106804488931,2543.4821192256354,16,5045.757233149183,3401.492511743112,5575.12946207253,3750.2221221733394,95,5566.416894905757,3651.2424674790514,5915.578924011606,3425.2591493944415,277,3875.9060739619235,2250.795117115527,3832.861476178469,2158.102780100514
10,-1.376166776606911,2582.9201070291247,4340.288435016787,248.84396620529336,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,631.3808266620697,642.5601426615556,6777.966159000591,1.0,59,1366.0797333814949,733.1168658574372,1372.4054351951054,734.1587812992193,79,5622.41911528413,3564.636118772782,5982.17175572876,3359.443863768336,218,4282.443997518693,2668.242582276316,4261.106804488931,2543.4821192256354,16,5014.8590626077485,3394.3280256224243,5575.12946207253,3750.2221221733394,95,5524.7739869086945,3535.952650452722,5915.578924011606,3425.2591493944415,277,3851.052391900519,2256.0677906925116,3832.861476178469,2158.102780100514
