group,n_features,epochs,scale_multiplier,val_rmse,val_smart_rmse,val_hard_rmse,val_hard_smart_rmse,val_stable_rmse,val_stable_smart_rmse,val_coverage_80,test_rmse,test_smart_rmse,test_hard_rmse,test_hard_smart_rmse,test_stable_rmse,test_stable_smart_rmse,test_coverage_80
pv_solar,20,22,1.2727895826101303,4359.503522389538,4458.227906319658,5595.5259779588505,5915.578924011606,3845.1616443003445,3832.861476178469,0.9005376344086021,5326.194066368746,5181.455931818419,6625.672580784121,6566.094607512983,5012.351228524918,4842.444897817307,0.8317972350230415
pv_solar_weather,25,35,1.774921864271164,4249.529337804158,4458.227906319658,5352.422431333548,5915.578924011606,3798.2331963397132,3832.861476178469,0.9005376344086021,5265.085176796149,5181.455931818419,6496.132728434647,6566.094607512983,4969.541316246327,4842.444897817307,0.8571428571428571
global,61,30,1.4940892606973648,4298.7376979237515,4458.227906319658,5612.69350235698,5915.578924011606,3743.35562630492,3832.861476178469,0.9005376344086021,5127.069869765175,5181.455931818419,6330.712009899785,6566.094607512983,4837.9440756610275,4842.444897817307,0.9101382488479263
rings,205,23,1.5757239758968353,4414.1980200770595,4458.227906319658,5591.23605513416,5915.578924011606,3930.1625288528676,3832.861476178469,0.9005376344086021,5196.92905458612,5181.455931818419,6124.834753151939,6566.094607512983,4981.297337811471,4842.444897817307,0.9262672811059908
weighted,97,27,1.4668807685375214,4383.88956185525,4458.227906319658,5473.669503737493,5915.578924011606,3941.3465631507543,3832.861476178469,0.9005376344086021,5265.978842050882,5181.455931818419,5862.749312530279,6566.094607512983,5132.550605009351,4842.444897817307,0.9516129032258065
rings_weighted,277,30,1.956413745880127,4352.489786875117,4458.227906319658,5409.781701304484,5915.578924011606,3924.828464134092,3832.861476178469,0.9005376344086021,5545.970314329275,5181.455931818419,6429.920961062068,6566.094607512983,5342.865018699679,4842.444897817307,0.9216589861751152
sky_no_weather,308,22,1.5753003805875778,4447.765724242787,4458.227906319658,5621.280642487999,5915.578924011606,3966.1241485479804,3832.861476178469,0.9005376344086021,5477.050239758121,5181.455931818419,6204.785625017778,6566.094607512983,5312.442450556942,4842.444897817307,0.9055299539170507
all,313,21,1.5774622410535812,4410.480996362425,4458.227906319658,5495.029258328513,5915.578924011606,3970.8838926061126,3832.861476178469,0.9005376344086021,5341.77239228137,5181.455931818419,6144.073552532158,6566.094607512983,5158.427139265374,4842.444897817307,0.9193548387096774
