split,mae,rmse,bias,n_samples,smart_persistence_mae,smart_persistence_rmse,persistence_mae,persistence_rmse,coverage_80,pinball_q10_w,pinball_q90_w,mean_interval_width_w,weather_clear_sky_n,weather_clear_sky_rmse,weather_clear_sky_mae,weather_clear_sky_smart_persistence_rmse,weather_clear_sky_smart_persistence_mae,weather_cloudy_n,weather_cloudy_rmse,weather_cloudy_mae,weather_cloudy_smart_persistence_rmse,weather_cloudy_smart_persistence_mae,weather_overcast_n,weather_overcast_rmse,weather_overcast_mae,weather_overcast_smart_persistence_rmse,weather_overcast_smart_persistence_mae,weather_partly_cloudy_n,weather_partly_cloudy_rmse,weather_partly_cloudy_mae,weather_partly_cloudy_smart_persistence_rmse,weather_partly_cloudy_smart_persistence_mae,hard_weather_n,hard_weather_rmse,hard_weather_mae,hard_weather_smart_persistence_rmse,hard_weather_smart_persistence_mae,stable_weather_n,stable_weather_rmse,stable_weather_mae,stable_weather_smart_persistence_rmse,stable_weather_smart_persistence_mae
train,1759.2127728916123,2978.7273114024283,-28.921788961848854,1821,2026.6844830196044,3430.0750271654633,2499.6252857105605,3706.7763378669088,0.9412410763316859,486.36033343616054,534.8790205264262,9085.827447060856,518,1102.735544326149,510.4515669728534,1167.8034588016608,619.5934504710258,346,4116.8270089329735,2843.5040247869456,4991.117642720206,3440.0190244566083,823,3056.179059272461,1909.0228121056934,3234.7612359389173,2014.8601158061547,134,3840.4641946507036,2866.6744836150656,5101.570387283185,3889.30282436012,480,4041.577584904421,2849.972444543129,5022.196788118028,3565.444085263006,1341,2490.385832221541,1368.7842550745145,2636.014984978562,1475.8980482121226
val,2488.326012551174,4250.9535960915955,-15.328820769869278,372,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.9032258064516129,624.7952307186475,674.6684363521366,10737.441198730208,59,1220.437892228247,542.6318017643861,1372.4054351951054,734.1587812992193,79,5632.667913511255,3584.781957681708,5982.17175572876,3359.443863768336,218,4171.573962235503,2583.3178242850886,4261.106804488931,2543.4821192256354,16,4571.075423712157,2955.0587508708522,5575.12946207253,3750.2221221733394,95,5468.3246414969735,3478.72331232409,5915.578924011606,3425.2591493944415,277,3743.35562630492,2148.659068585733,3832.861476178469,2158.102780100514
test,3341.745159965363,5037.929268694947,520.1473105298398,434,3312.0471407465425,5181.455931818419,3342.1805073698547,5231.9670109932085,0.923963133640553,762.7227400866708,954.4391141965143,14370.227771501788,5,4457.00362441563,3964.748006442329,4425.575285040552,3931.2557213322625,69,5868.985938861205,4554.260693922679,6549.017228374547,4780.5851639386965,354,4843.110001160018,3064.411904490174,4848.076173925351,2975.577799278731,6,6270.105489233528,5241.309553761629,6759.384097190529,5759.543870149537,75,5902.078794983663,4609.224602709794,6566.094607512983,4858.901860435563,359,4837.9440756610275,3076.9514045173623,4842.444897817307,2988.8880767446576
