epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.721174668586045,2874.569490505208,4508.428019938782,899.5574917265373,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8494623655913979,713.6687767585038,820.4824378258968,9616.184355208448,1.0,59,1282.682603369931,681.2726754828088,1372.4054351951054,734.1587812992193,79,5614.571538346483,3358.6748107061185,5982.17175572876,3359.443863768336,218,4580.9661688812785,3245.9088451312095,4261.106804488931,2543.4821192256354,16,4993.982826173306,3512.5827706290293,5575.12946207253,3750.2221221733394,95,5514.943815782374,3384.596151324714,5915.578924011606,3425.2591493944415,277,4106.81213242363,2699.650599610431,3832.861476178469,2158.102780100514
2,-1.034280943243127,2822.6803327550724,4461.552578513121,-259.1490249801095,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8494623655913979,718.471698029973,709.0710172127372,9166.670367326473,1.0,59,1872.0172595821577,1575.3414800351059,1372.4054351951054,734.1587812992193,79,5847.543749939828,3993.2102578077,5982.17175572876,3359.443863768336,218,4318.031605397711,2687.4491938611727,4261.106804488931,2543.4821192256354,16,5196.520816224291,3485.2751146419905,5575.12946207253,3750.2221221733394,95,5743.068061571093,3907.6632863271598,5915.578924011606,3425.2591493944415,277,3926.885485017774,2450.574265645512,3832.861476178469,2158.102780100514
3,-1.1357931803193009,2652.0916509592653,4370.125136840605,-467.97564305687865,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8306451612903226,665.8694775430073,675.6092435945166,8200.009797526767,1.0,59,1433.2279417715156,943.6624489517101,1372.4054351951054,734.1587812992193,79,5877.578490477502,3921.5702773348867,5982.17175572876,3359.443863768336,218,4207.02054925152,2599.4436807309944,4261.106804488931,2543.4821192256354,16,4973.329521413569,3401.2022099926835,5575.12946207253,3750.2221221733394,95,5735.276332977568,3833.9293396772523,5915.578924011606,3425.2591493944415,277,3790.3455031686035,2246.76825591158,3832.861476178469,2158.102780100514
4,-1.1810050836780615,2644.9345040691305,4378.6897596352665,-611.3495643025292,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,649.644158839503,668.1081163452224,7763.073526574193,1.0,59,1368.8279680891749,885.9266540075699,1372.4054351951054,734.1587812992193,79,5853.532764902424,3763.029708978037,5982.17175572876,3359.443863768336,218,4225.921416523883,2653.121258638401,4261.106804488931,2543.4821192256354,16,5134.457278764799,3499.136345927094,5575.12946207253,3750.2221221733394,95,5738.738395475992,3718.58451099051,5915.578924011606,3425.2591493944415,277,3801.805331571882,2276.7151876159496,3832.861476178469,2158.102780100514
5,-1.2256906775006078,2530.547436695701,4315.756304463527,-300.0734238071781,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8252688172043011,644.8694296012092,656.5635015186188,8292.435830711076,1.0,59,1292.265829913477,745.0364754279026,1372.4054351951054,734.1587812992193,79,5714.6207849184475,3551.733694912995,5982.17175572876,3359.443863768336,218,4202.865802647145,2582.277439347564,4261.106804488931,2543.4821192256354,16,4997.429339946038,3367.6906702911947,5575.12946207253,3750.2221221733394,95,5600.266127738826,3520.7369749766917,5915.578924011606,3425.2591493944415,277,3775.8957890656648,2190.951746671535,3832.861476178469,2158.102780100514
6,-1.2533695112194931,2487.506318489431,4320.360095804104,-48.34675822818907,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8306451612903226,632.9023241598431,654.542566423576,8181.864457340106,1.0,59,1255.5199258892176,629.366042815725,1372.4054351951054,734.1587812992193,79,5675.8006020483135,3349.791125052988,5982.17175572876,3359.443863768336,218,4227.186194502152,2599.712088275988,4261.106804488931,2543.4821192256354,16,5062.978199084358,3553.063739286823,5575.12946207253,3750.2221221733394,95,5577.305760965313,3384.0265127134235,5915.578924011606,3425.2591493944415,277,3794.575249882949,2180.035493755571,3832.861476178469,2158.102780100514
7,-1.3066785021832115,2535.2848251187224,4349.037327081405,444.6259504255308,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8198924731182796,616.6211668629674,624.6485673668257,7644.798188521647,1.0,59,1312.2450883580605,675.5596800346077,1372.4054351951054,734.1587812992193,79,5616.0124069877975,3230.601832503819,5982.17175572876,3359.443863768336,218,4286.196469548517,2700.416515784008,4261.106804488931,2543.4821192256354,16,5231.197255503658,3709.974288337966,5575.12946207253,3750.2221221733394,95,5553.069164359901,3311.3382461179913,5915.578924011606,3425.2591493944415,277,3850.3504090232605,2269.129319721861,3832.861476178469,2158.102780100514
8,-1.3255762353278042,2553.1733500710293,4349.935972111882,201.48648659757785,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7903225806451613,638.877627279848,649.7048575126021,6849.447744630238,1.0,59,1420.545692864407,841.9699115982019,1372.4054351951054,734.1587812992193,79,5729.466436784103,3473.013657283363,5982.17175572876,3359.443863768336,218,4232.161543904744,2608.6088196968703,4261.106804488931,2543.4821192256354,16,5135.34292115652,3566.2162389266014,5575.12946207253,3750.2221221733394,95,5633.792792795392,3488.7109341916976,5915.578924011606,3425.2591493944415,277,3811.2974588588413,2232.3211100296453,3832.861476178469,2158.102780100514
9,-1.3373385814198278,2549.377874280875,4381.88908933275,-405.79743453680936,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8360215053763441,615.1709839865616,649.8763379555247,7620.606660255351,1.0,59,1265.0157501349988,594.6477448990829,1372.4054351951054,734.1587812992193,79,5991.530414517967,3839.6635984244226,5982.17175572876,3359.443863768336,218,4175.636770163597,2545.030504249389,4261.106804488931,2543.4821192256354,16,5070.296857877652,3445.892380096455,5575.12946207253,3750.2221221733394,95,5846.54919685781,3773.344235337607,5915.578924011606,3425.2591493944415,277,3750.066703214173,2129.606017600768,3832.861476178469,2158.102780100514
10,-1.3550431717906082,2514.2300169409946,4339.621798014736,-84.92125057241277,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7849462365591398,651.2538099553896,656.5923475232258,6487.337451661781,1.0,59,1259.0126193889864,546.1734951845394,1372.4054351951054,734.1587812992193,79,5792.561140362387,3680.6716575932232,5982.17175572876,3359.443863768336,218,4208.961575763778,2571.8503776390185,4261.106804488931,2543.4821192256354,16,4996.2802078796985,3227.0554256869655,5575.12946207253,3750.2221221733394,95,5666.292257749917,3604.2731343248006,5915.578924011606,3425.2591493944415,277,3778.8455435589403,2140.3885145891477,3832.861476178469,2158.102780100514
