group,n_features,epochs,scale_multiplier,val_rmse,val_smart_rmse,val_hard_rmse,val_hard_smart_rmse,val_stable_rmse,val_stable_smart_rmse,val_coverage_80,test_rmse,test_smart_rmse,test_hard_rmse,test_hard_smart_rmse,test_stable_rmse,test_stable_smart_rmse,test_coverage_80
weighted,97,18,1.391324207186699,4353.124033416703,4458.227906319658,5512.4265399531605,5915.578924011606,3876.4930037589747,3832.861476178469,0.9005376344086021,5227.15982759974,5181.455931818419,6065.842255696303,6566.094607512983,5034.334916458691,4842.444897817307,0.9354838709677419
weighted_no_hard_rings,97,24,1.417570486664772,4349.57867807746,4458.227906319658,5587.768691154708,5915.578924011606,3833.919674676669,3832.861476178469,0.9005376344086021,5138.330773256326,5181.455931818419,6158.974982765697,6566.094607512983,4898.321967772193,4842.444897817307,0.9216589861751152
no_hard_rings,133,16,1.3109394907951355,4352.2505144780525,4458.227906319658,5578.087695149596,5915.578924011606,3842.8162278309783,3832.861476178469,0.9005376344086021,5263.248672582389,5181.455931818419,6292.719201600432,6566.094607512983,5021.597299551773,4842.444897817307,0.9285714285714286
all,313,19,1.5290804505348206,4454.842098653361,4458.227906319658,5593.672194623525,5915.578924011606,3990.1046027011494,3832.861476178469,0.9005376344086021,5354.217125177576,5181.455931818419,6160.530372060399,6566.094607512983,5169.911374416846,4842.444897817307,0.9354838709677419
