epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae
11,-1.1947952071825663,3997.1532158205314,5482.2767343803525,-426.1270511774712,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.6666666666666666,1121.2627286819857,916.7205909214794,9132.507051077017,1.0,79,5453.255470942701,3903.7125530459925,23,5580.809168147853,4318.101579263513
12,-1.2327184359232584,3681.63326664669,5431.983736263769,524.5381783484789,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.7058823529411765,1134.2760720521621,908.4953838922006,9260.236470722433,1.0,79,5385.342876328773,3443.5533901882413,23,5589.2214281290035,4499.385885786579
13,-1.3004685481389364,3818.249564126111,5410.6803517793,-125.96672933295771,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.696078431372549,1127.7321202672736,900.7583720253551,8225.331060954932,1.0,79,5395.779485847049,3665.806385145396,23,5461.551961788159,4341.858744103351
14,-1.2750473976135255,3608.292949826935,5481.883992502431,122.94937682572373,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.6470588235294118,1068.1178039078466,1035.8692269984779,7921.347123715913,1.0,79,5378.65109238299,3305.191896531093,23,5822.543134143521,4649.379176364827
15,-1.2908875783284506,3701.0547477415266,5462.318295023509,287.4107484112108,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.6666666666666666,1174.3624766384798,930.5489096264068,8173.080296926612,1.0,79,5399.966348783798,3467.1882967174547,23,5671.264980642993,4504.335166476383
16,-1.297580595811208,4323.760964088305,5712.580594525096,-972.331615201936,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.5686274509803921,1160.6207280987903,1020.4226011335564,7969.564135670195,1.0,79,5787.110164643992,4376.052654562761,23,5448.829066202801,4144.150375067347
17,-1.316036880016327,4266.170123746495,5706.991032719153,-418.543166026836,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.5686274509803921,1179.1465776843684,1061.602749092005,8084.280265636244,1.0,79,5830.546265535797,4275.636874021618,23,5260.549844955599,4233.653894540641
18,-1.3751295725504558,3613.155875722244,5425.581524778968,474.8659933815293,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.6568627450980392,1145.7846233693667,956.1845323021378,7502.266694899224,1.0,79,5412.052331434147,3354.657685483536,23,5471.796594514261,4501.040963933459
19,-1.4114111185073852,3791.5820698774473,5461.9241243493125,-139.56085272680616,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.6372549019607843,1174.9936451715002,984.3538493734146,7221.108084930004,1.0,79,5525.082235060866,3690.729773991893,23,5239.194186565958,4137.987781832177
20,-1.4363100051879882,3760.059374698611,5405.594559693759,-229.67061462593446,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.6274509803921569,1145.0535565591572,996.3619352130141,7177.494312306113,1.0,79,5499.46990466383,3717.7919354013115,23,5069.931781183724,3905.2388401110757
21,-1.4414313713709512,3640.8083283620504,5453.8847766696645,137.72610559940736,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.6470588235294118,1136.913132951942,1027.0145143954287,7387.344388476699,1.0,79,5483.467669542155,3480.078722739103,23,5351.02849554493,4192.879582458262
22,-1.4649101416269938,3606.1984533469054,5416.08744461976,24.329314264054545,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.6176470588235294,1135.0099241447072,1019.5805032406838,7418.528715464162,1.0,79,5395.955139855369,3381.5643229978264,23,5484.67473316062,4377.767857589394
23,-1.5053933223088583,3827.1452946974223,5530.754348091061,-229.6983029713304,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.5686274509803921,1201.1198395245656,1010.6802292948947,6625.193517062322,1.0,79,5557.817909516077,3704.695597796063,23,5436.770940225296,4247.733384054265
24,-1.479499371846517,4087.579706037039,5568.405426602923,-677.6250740134342,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.5588235294117647,1195.48431017014,1019.9970101849141,7017.137508112977,1.0,79,5691.461511955768,4136.811886554429,23,5123.272477746069,3918.4778686077434
25,-1.4305222511291504,4350.770902904272,5842.441693179176,-690.9715029451752,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.5196078431372549,1262.1702506727397,1158.625006724009,7167.235409543728,1.0,79,5994.9396636865995,4384.154073533279,23,5285.237519108622,4236.106969004639
26,-1.5776462157567341,3857.247191614016,5620.805140753248,332.4565509555202,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.5882352941176471,1318.0248736178812,972.9903564176827,6891.856518324822,1.0,79,5649.13399618673,3697.462151784021,23,5522.3949839425995,4406.074067551825
27,-1.5549333095550537,3952.7386828597646,5523.252585298081,-220.6075021660129,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.5588235294117647,1257.5472787776023,1017.2938518538771,6650.103958097923,1.0,79,5559.68686111887,3845.8658738378376,23,5396.235518920135,4319.82354863073
28,-1.5391412814458212,4706.718610556784,6125.141002619587,-1364.6780958051095,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.4215686274509804,1321.8900445905322,1461.0495382975505,6717.374262983621,1.0,79,6323.087775985035,4857.880353707007,23,5390.153067113554,4187.510884084283
29,-1.6400195360183716,4049.7216674824617,5688.486020424427,-464.7274425712302,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.5098039215686274,1206.1139648760866,1311.6589599122726,6113.923598371986,1.0,79,5747.810722185311,3982.435877639557,23,5479.829206788394,4280.833728247221
30,-1.6370354096094768,4223.386515652537,5756.448655157977,-347.6090267495202,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.49019607843137253,1337.9562597893312,1093.897185903212,5999.887242203888,1.0,79,5883.786978881941,4250.602578568511,23,5295.800331066096,4129.905256071584
31,-1.6046567916870118,3724.5646830656997,5614.161694595598,330.8153674170174,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.5686274509803921,1267.3873309167795,1129.7788753770951,6021.643186993909,1.0,79,5661.352337618624,3550.8288319979283,23,5448.960265442164,4321.309562820217
32,-1.7174562454223632,4196.923976657987,5815.157541911708,-580.6967106617442,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.4803921568627451,1298.5775579499436,1290.4325074510725,5531.219915923988,1.0,79,5955.631603971211,4246.63515233228,23,5304.401625165452,4026.1768949941084
