epoch,loss,val_loss
1,0.05355256896000356,0.04339657677337527
2,0.043734588637016715,0.0416168668307364
3,0.04034790862351656,0.0354422100353986
4,0.03373160550836474,0.033208585716784
5,0.032053531729616225,0.028693741536699235
6,0.02858512243255973,0.0304748551803641
7,0.026101433602161706,0.023261323408223688
8,0.02633740260498598,0.026654977025464176
9,0.02466369466856122,0.028593046707101166
10,0.023488743288908154,0.02171302295755595
11,0.021988914732355626,0.022593950806185602
12,0.022185089357662946,0.02454592474969104
13,0.019535517774056644,0.022068552486598492
14,0.021629099303390832,0.025584528158651663
15,0.020695273636374623,0.019650270271813496
16,0.018604897311888635,0.020942041510716082
17,0.01933920606970787,0.018375539337284863
18,0.0179162485525012,0.023445496463682502
19,0.01815075831254944,0.021656572259962557
20,0.01722716463264078,0.019067209702916442
21,0.016407849511597305,0.01809781158808619
22,0.015669714350951835,0.01729042293736711
23,0.014909563132096081,0.015103720920160412
24,0.013969687948701903,0.014359158696606755
25,0.013738730747718364,0.013832714536692946
26,0.013574485800927506,0.01774716727086343
27,0.013776007248088718,0.014648141799261794
28,0.013163977896329015,0.017051827465184032
29,0.01233858588966541,0.015007129014702515
30,0.012072021415224298,0.013956273952499033
