epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae
1,-0.10126043856143951,5175.943070343998,6315.068828130793,-2925.9009084284694,15,4801.367381915628,5475.324465150634,4801.367381915628,5475.324465150634,5078.865950520833,5807.646908899374,1.0,2599.819687480741,2232.0643505901826,48318.84038070925,1.0,8,5887.417159808164,4928.805867370043,7,6770.819406537455,5458.385588028518
2,-0.10247195512056351,5049.126154439935,6157.9881053139825,-2565.8745329471694,15,4801.367381915628,5475.324465150634,4801.367381915628,5475.324465150634,5078.865950520833,5807.646908899374,1.0,2558.2355202973563,2244.420152680263,48026.55672977619,1.0,8,5628.629876362669,4733.148941866428,7,6712.041080850443,5410.242968809658
3,-0.14762303233146667,4959.035981870823,6025.3435415358745,-2237.0986681765335,15,4801.367381915628,5475.324465150634,4801.367381915628,5475.324465150634,5078.865950520833,5807.646908899374,1.0,2515.93964850052,2251.297429362562,47672.37077863084,1.0,8,5392.010331450272,4602.667718511977,7,6675.983272545906,5366.313997138075
