ts_anchor,ts_target,past_pv,target
2025-03-01 17:00:00+08:00,2025-03-01 17:15:00+08:00,"[6021.3335, 4654.3335, 3100.3333, 3053.6667, 3917.0, 2372.3333, 2133.0, 2141.3333]",267.33334
2025-03-01 17:15:00+08:00,2025-03-01 17:30:00+08:00,"[4654.3335, 3100.3333, 3053.6667, 3917.0, 2372.3333, 2133.0, 2141.3333, 1451.0]",122.333336
2025-03-01 17:30:00+08:00,2025-03-01 17:45:00+08:00,"[3100.3333, 3053.6667, 3917.0, 2372.3333, 2133.0, 2141.3333, 1451.0, 267.33334]",88.333336
2025-03-01 17:45:00+08:00,2025-03-01 18:00:00+08:00,"[3053.6667, 3917.0, 2372.3333, 2133.0, 2141.3333, 1451.0, 267.33334, 122.333336]",56.333332
2025-03-02 09:00:00+08:00,2025-03-02 09:15:00+08:00,"[92.666664, 368.0, 941.6667, 1044.3334, 2126.3333, 2343.0, 3625.0, 5284.6665]",7977.0
2025-03-02 09:15:00+08:00,2025-03-02 09:30:00+08:00,"[368.0, 941.6667, 1044.3334, 2126.3333, 2343.0, 3625.0, 5284.6665, 8881.0]",12085.333
2025-03-02 09:30:00+08:00,2025-03-02 09:45:00+08:00,"[941.6667, 1044.3334, 2126.3333, 2343.0, 3625.0, 5284.6665, 8881.0, 7977.0]",13356.667
2025-03-02 09:45:00+08:00,2025-03-02 10:00:00+08:00,"[1044.3334, 2126.3333, 2343.0, 3625.0, 5284.6665, 8881.0, 7977.0, 12085.333]",11946.333
2025-03-02 10:00:00+08:00,2025-03-02 10:15:00+08:00,"[2126.3333, 2343.0, 3625.0, 5284.6665, 8881.0, 7977.0, 12085.333, 13356.667]",18046.666
2025-03-02 10:15:00+08:00,2025-03-02 10:30:00+08:00,"[2343.0, 3625.0, 5284.6665, 8881.0, 7977.0, 12085.333, 13356.667, 11946.333]",14526.0
2025-03-02 10:30:00+08:00,2025-03-02 10:45:00+08:00,"[3625.0, 5284.6665, 8881.0, 7977.0, 12085.333, 13356.667, 11946.333, 18046.666]",12158.333
2025-03-02 10:45:00+08:00,2025-03-02 11:00:00+08:00,"[5284.6665, 8881.0, 7977.0, 12085.333, 13356.667, 11946.333, 18046.666, 14526.0]",21457.0
2025-03-02 11:00:00+08:00,2025-03-02 11:15:00+08:00,"[8881.0, 7977.0, 12085.333, 13356.667, 11946.333, 18046.666, 14526.0, 12158.333]",21868.666
2025-03-02 11:15:00+08:00,2025-03-02 11:30:00+08:00,"[7977.0, 12085.333, 13356.667, 11946.333, 18046.666, 14526.0, 12158.333, 21457.0]",31343.334
2025-03-02 11:30:00+08:00,2025-03-02 11:45:00+08:00,"[12085.333, 13356.667, 11946.333, 18046.666, 14526.0, 12158.333, 21457.0, 21868.666]",22418.0
2025-03-02 11:45:00+08:00,2025-03-02 12:00:00+08:00,"[13356.667, 11946.333, 18046.666, 14526.0, 12158.333, 21457.0, 21868.666, 31343.334]",20949.0
2025-03-02 12:00:00+08:00,2025-03-02 12:15:00+08:00,"[11946.333, 18046.666, 14526.0, 12158.333, 21457.0, 21868.666, 31343.334, 22418.0]",23438.666
2025-03-02 12:15:00+08:00,2025-03-02 12:30:00+08:00,"[18046.666, 14526.0, 12158.333, 21457.0, 21868.666, 31343.334, 22418.0, 20949.0]",31630.666
2025-03-02 12:30:00+08:00,2025-03-02 12:45:00+08:00,"[14526.0, 12158.333, 21457.0, 21868.666, 31343.334, 22418.0, 20949.0, 23438.666]",15431.667
2025-03-02 12:45:00+08:00,2025-03-02 13:00:00+08:00,"[12158.333, 21457.0, 21868.666, 31343.334, 22418.0, 20949.0, 23438.666, 31630.666]",9959.0
2025-03-02 13:00:00+08:00,2025-03-02 13:15:00+08:00,"[21457.0, 21868.666, 31343.334, 22418.0, 20949.0, 23438.666, 31630.666, 15431.667]",9241.667
2025-03-02 13:15:00+08:00,2025-03-02 13:30:00+08:00,"[21868.666, 31343.334, 22418.0, 20949.0, 23438.666, 31630.666, 15431.667, 9959.0]",12580.0
2025-03-02 13:30:00+08:00,2025-03-02 13:45:00+08:00,"[31343.334, 22418.0, 20949.0, 23438.666, 31630.666, 15431.667, 9959.0, 9241.667]",23193.0
2025-03-02 13:45:00+08:00,2025-03-02 14:00:00+08:00,"[22418.0, 20949.0, 23438.666, 31630.666, 15431.667, 9959.0, 9241.667, 12580.0]",18799.334
2025-03-02 14:00:00+08:00,2025-03-02 14:15:00+08:00,"[20949.0, 23438.666, 31630.666, 15431.667, 9959.0, 9241.667, 12580.0, 23193.0]",14323.667
2025-03-02 14:15:00+08:00,2025-03-02 14:30:00+08:00,"[23438.666, 31630.666, 15431.667, 9959.0, 9241.667, 12580.0, 23193.0, 18799.334]",15407.333
2025-03-02 14:30:00+08:00,2025-03-02 14:45:00+08:00,"[31630.666, 15431.667, 9959.0, 9241.667, 12580.0, 23193.0, 18799.334, 14323.667]",7447.0
2025-03-02 14:45:00+08:00,2025-03-02 15:00:00+08:00,"[15431.667, 9959.0, 9241.667, 12580.0, 23193.0, 18799.334, 14323.667, 15407.333]",15202.667
2025-03-02 15:00:00+08:00,2025-03-02 15:15:00+08:00,"[9959.0, 9241.667, 12580.0, 23193.0, 18799.334, 14323.667, 15407.333, 7447.0]",11974.667
2025-03-02 15:15:00+08:00,2025-03-02 15:30:00+08:00,"[9241.667, 12580.0, 23193.0, 18799.334, 14323.667, 15407.333, 7447.0, 15202.667]",23372.0
2025-03-02 15:30:00+08:00,2025-03-02 15:45:00+08:00,"[12580.0, 23193.0, 18799.334, 14323.667, 15407.333, 7447.0, 15202.667, 11974.667]",9805.667
2025-03-02 15:45:00+08:00,2025-03-02 16:00:00+08:00,"[23193.0, 18799.334, 14323.667, 15407.333, 7447.0, 15202.667, 11974.667, 23372.0]",13357.667
2025-03-02 16:00:00+08:00,2025-03-02 16:15:00+08:00,"[18799.334, 14323.667, 15407.333, 7447.0, 15202.667, 11974.667, 23372.0, 9805.667]",18751.334
2025-03-02 16:15:00+08:00,2025-03-02 16:30:00+08:00,"[14323.667, 15407.333, 7447.0, 15202.667, 11974.667, 23372.0, 9805.667, 13357.667]",11227.333
2025-03-02 16:30:00+08:00,2025-03-02 16:45:00+08:00,"[15407.333, 7447.0, 15202.667, 11974.667, 23372.0, 9805.667, 13357.667, 18751.334]",10196.667
2025-03-02 16:45:00+08:00,2025-03-02 17:00:00+08:00,"[7447.0, 15202.667, 11974.667, 23372.0, 9805.667, 13357.667, 18751.334, 11227.333]",8394.0
2025-03-02 17:00:00+08:00,2025-03-02 17:15:00+08:00,"[15202.667, 11974.667, 23372.0, 9805.667, 13357.667, 18751.334, 11227.333, 10196.667]",4781.6665
2025-03-02 17:15:00+08:00,2025-03-02 17:30:00+08:00,"[11974.667, 23372.0, 9805.667, 13357.667, 18751.334, 11227.333, 10196.667, 8394.0]",3624.0
