epoch,loss,val_loss
1,0.04003656875300274,0.012084786159296831
2,0.017071008221821837,0.0061396123983690305
3,0.014849845134245043,0.006374982990221017
4,0.014295984261009968,0.005286705607755317
5,0.013732933782020144,0.004810424211124579
6,0.013212516461760642,0.004997853189706802
7,0.012936041706105631,0.004784664715407417
8,0.012811861385518078,0.004727480550193125
9,0.012603131625173467,0.005076207898996978
10,0.012359575371080067,0.004616745734690792
11,0.012251519530048867,0.004698504286999297
12,0.012066701202119669,0.004596102867637657
13,0.012034478197083547,0.004496486999818848
14,0.011988535947218704,0.0048669024247727875
15,0.011826781090348959,0.005624728492047224
16,0.011833244929445928,0.004988360755507731
17,0.011712554617251238,0.004470716182711638
18,0.011697896170231063,0.0044909582214636935
19,0.011684019442940697,0.004560727853741911
20,0.011621631747320964,0.004682938277255744
21,0.011580353092632435,0.004515439336925434
22,0.01141297509056631,0.004111651109997183
23,0.01145268790947085,0.0042389681394625865
24,0.01143960775074999,0.004270506413498272
25,0.01137504635085718,0.004423160940253486
26,0.011467510381755367,0.004402308722233607
27,0.011448364916749382,0.004562165339464425
28,0.011326206280337123,0.004405779207202917
29,0.011240567902123995,0.004514174680742953
30,0.011202664271499334,0.0040861420889592
31,0.011260602929304992,0.004779669117285974
32,0.011197840127821886,0.0041863255797781876
33,0.011210397338452801,0.004020801694261738
34,0.01118737676316935,0.00425198617287808
35,0.011209904148211975,0.004358784265544576
36,0.011178631432291664,0.004428126000695759
37,0.011185321090952232,0.004180230773312764
38,0.011149067515402698,0.004154216262072118
39,0.011198682048661488,0.004419628350943741
40,0.0110843751155719,0.003997394630439683
41,0.011155462402620175,0.003925713024929994
42,0.011005231924878244,0.004359089735791915
43,0.01106016108441805,0.004106965658461882
44,0.011045774753634514,0.004424899870840212
45,0.010883680395677352,0.004213880034189464
46,0.010965872472256756,0.004103974456666037
47,0.010829641182875533,0.004291663675879439
48,0.010788335580002056,0.004080475921445112
49,0.010732951600188285,0.003959404861800269
50,0.01077335209617119,0.004216101357532251
51,0.010816152900813168,0.004040008064152466
52,0.010789189016802257,0.004056574714033761
53,0.010684803164867538,0.004170606191554624
54,0.010729041348180075,0.003919682500741651
55,0.01064508954806023,0.004013836226982271
56,0.010614840509997827,0.0040188824062675444
57,0.01071856258531216,0.003988500826461758
58,0.010531872557999377,0.0038395089145827417
59,0.010514675872400403,0.0041094264083464315
60,0.010518839289800505,0.004052490925015364
61,0.010624706091129043,0.00394773142276487
62,0.010503046934001064,0.003946989167565739
63,0.0105435664352197,0.003945501191386332
64,0.010481176958053132,0.0043719271961082185
65,0.01051836614392363,0.003977819514046941
66,0.01047638752968626,0.0039809377637640055
67,0.010422190360913283,0.004242320923690891
68,0.010392705206183737,0.003945512020759957
69,0.010424405681701858,0.0038687268517807955
70,0.010389752126183737,0.003987525123456079
71,0.010447470460798634,0.003935850983705475
72,0.010356035570122218,0.00405760588894029
73,0.010425848109396488,0.003882923713859378
74,0.010389433666184712,0.00405108780218547
75,0.01031881252178148,0.00406892399639926
76,0.010253923814325185,0.004014068369158647
77,0.01035869947969495,0.00389457721078846
78,0.010289987619819769,0.004018372578624015
79,0.010233914041420801,0.004048892923229788
80,0.010204164311289787,0.004131412972411555
81,0.010255555412993672,0.00407141674335839
82,0.010170166392475786,0.0044565042539034035
83,0.010232637620667059,0.003957156685323248
84,0.010161785102773751,0.003935812891480358
85,0.01017561995455723,0.004277128893752686
86,0.010175727231930314,0.004382137669340915
87,0.010061789391656521,0.004111347275708491
88,0.009990968511261966,0.004201030908087786
89,0.010051940154451667,0.00411817635047353
90,0.010001150245014368,0.004117850119817175
91,0.009987647608550412,0.004025467547600985
92,0.00999540328623706,0.004181835046943484
93,0.009812925552447022,0.00409283955329253
94,0.009711309269415947,0.004035838134263435
95,0.009836903098300936,0.0041011377363853775
96,0.009766200282663274,0.004092966689980434
97,0.009749550343585316,0.0041187581299002175
98,0.009659840024254296,0.004293823087937199
99,0.009651368405418784,0.004180340583035205
100,0.009512323368173302,0.004209247541600942
