epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w
1,-0.40764719247817993,4860.667846060964,5584.051378402885,-217.48279076015265,15,5078.865950520833,5807.646908899374,1.0,1624.990228052443,1581.4936699004122,32064.83897952856
2,-0.4973527491092682,4831.183349976239,5503.922886302318,-58.89869675830317,15,5078.865950520833,5807.646908899374,1.0,1565.0727977793197,1553.2930584276587,31183.658562069795
3,-0.5456773042678833,4805.997874257504,5466.057180001271,160.5351003643979,15,5078.865950520833,5807.646908899374,1.0,1495.906935459346,1528.0139555322255,30239.20890991572
