date,start_time,end_time,is_clear_sky,pv_clear_sky,image_clear_sky,pv_r2,csi_mae,pv_mae_w,pv_rmse_w,mean_target_csi,min_target_csi,max_target_csi,n_pv_samples,n_image_samples,blue_fraction_mean,blue_fraction_p10,gray_fraction_mean,gray_fraction_p90,bright_white_fraction_mean,mean_saturation,mean_value,notes
2026-01-17,08:00,17:59,True,True,True,0.9979454800002483,0.011975642469422504,381.6239231154261,451.12493821293356,0.6448101347074003,0.42218001724994375,0.7208712106377715,36,20,0.5156838780554793,0.42838505904971164,0.5292900302114804,0.623326009338094,0.07888492172480088,0.22317176237702369,0.5783190339803695,auto clear sky by SPM daily R2 and image color heuristic
2026-01-18,08:00,17:59,True,True,True,0.9980320464749693,0.011561476250644055,382.20361075066694,446.2104290839589,0.6483842159883196,0.42928778929551453,0.7298890685304761,36,20,0.5292447129909366,0.4307195825322714,0.5123125514968415,0.6153007415545181,0.08054243339741829,0.23445452228188515,0.5747525095939636,auto clear sky by SPM daily R2 and image color heuristic
2026-01-19,08:00,17:59,False,False,True,0.9482102608100424,0.03716849795390274,1435.303282954216,2178.228086429284,0.6313535514248422,0.4183472984659025,0.8204181000668205,36,20,0.5168168085690745,0.44907168360340566,0.5284550947541884,0.59889590771766,0.07921175501235925,0.23373525813221932,0.5703629463911056,auto rejected by SPM daily R2 or image color heuristic
2026-01-20,08:00,17:59,False,False,False,0.8604526212677741,0.07531765569693451,2951.3337725536207,4325.325093068823,0.39150942059995114,0.139499170237535,0.7752949135766499,36,20,0.043154353199670425,0.0009667673716012085,0.9784207635265038,0.9997775336446032,0.06576215325460037,0.06043630642816424,0.5897369235754013,auto rejected by SPM daily R2 or image color heuristic
2026-01-21,08:00,17:59,False,False,False,0.8328323688619754,0.031944446603383025,1133.5239781932637,1620.8900880792164,0.31667898772267433,0.20262477807091775,0.5802680497229843,36,20,0.03748970063169459,0.0,0.9677973084317495,1.0,0.027113430376270252,0.052059390489012,0.6228267163038254,auto rejected by SPM daily R2 or image color heuristic
2026-01-22,08:00,17:59,False,False,False,0.850612087160114,0.059880119697042086,2568.643054264906,3708.008044405196,0.46724796683081554,0.2665937870186236,0.7732430872355972,35,20,0.12320790991485855,2.7464982147761604e-05,0.9021752265861028,0.999890140071409,0.051558637736885474,0.08748227693140506,0.5987546473741532,auto rejected by SPM daily R2 or image color heuristic
2026-01-23,08:00,17:59,False,False,False,0.8549675816638037,0.060881328649765164,2403.889761278692,3427.637125479317,0.3933111769644464,0.17627923582347774,0.6503108116304763,35,20,0.11799093655589124,0.0,0.9005657786322437,0.9998928865696237,0.04280554792639385,0.08288849638774991,0.6133912444114685,auto rejected by SPM daily R2 or image color heuristic
2026-01-24,08:00,17:59,True,True,True,0.9969236782996742,0.010643695043692423,395.27599772014867,463.9301646249588,0.6851419543552335,0.5657771569589934,0.7374560822330668,31,16,0.5370279456193354,0.4789892886569624,0.5021868992035156,0.5671106838780555,0.0917158747596814,0.24456234648823738,0.5575887858867645,auto clear sky by SPM daily R2 and image color heuristic
2026-01-25,08:00,17:59,False,False,True,0.8272900021466449,0.0628962150809329,2488.4357720777143,4882.154602810646,0.5776018897915006,0.2054227304452214,0.817225873540166,31,16,0.41572026915682503,0.002156001098599286,0.6123111782477341,0.9999450700357044,0.07216939027739633,0.2038727244362235,0.5867794416844845,auto rejected by SPM daily R2 or image color heuristic
2026-01-26,08:00,17:59,False,False,False,0.7836997446074532,0.07627414725947446,3312.153032992097,4360.762292005396,0.5574233449591532,0.25333773871629683,0.7903045673215564,33,16,0.3139659434221368,0.01351277121669871,0.724963952210931,0.9947267234276298,0.07942701180994233,0.16360845393501222,0.5776437520980835,auto rejected by SPM daily R2 or image color heuristic
2026-01-27,08:00,17:59,False,False,False,0.9571159523881676,0.03231268806335321,1266.6365347487529,1471.6516233905677,0.495583329095803,0.3523128792538816,0.5978367157924181,33,19,0.23997311322800274,2.1971985718209283e-05,0.792691423697943,0.9999230980499862,0.0601569840558551,0.13396013184989752,0.5896985970045391,auto rejected by SPM daily R2 or image color heuristic
2026-01-28,08:00,17:59,False,False,False,0.9287647437247295,0.034400808336917645,1478.924589715134,3078.4747082905633,0.374679549444378,0.04739314112292493,0.700551163764171,34,20,0.29165339192529516,0.0,0.735201867618786,0.9999450700357044,0.049578412524031855,0.13789796289056538,0.599121943116188,auto rejected by SPM daily R2 or image color heuristic
2026-01-29,08:00,17:59,False,False,False,0.7904494263463648,0.08715249923806273,3808.8367869124177,5381.718378267399,0.37984657615470135,0.04370447278945055,0.799432668711524,36,20,0.08650370777258995,0.004861301840153804,0.9370433946717933,0.9995166163141994,0.0650233452348256,0.06940588532015682,0.6039500415325165,auto rejected by SPM daily R2 or image color heuristic
