split,mae,rmse,bias,n_samples,smart_persistence_mae,smart_persistence_rmse,persistence_mae,persistence_rmse,coverage_80,pinball_q10_w,pinball_q90_w,mean_interval_width_w,weather_clear_sky_n,weather_clear_sky_rmse,weather_clear_sky_mae,weather_clear_sky_smart_persistence_rmse,weather_clear_sky_smart_persistence_mae,weather_cloudy_n,weather_cloudy_rmse,weather_cloudy_mae,weather_cloudy_smart_persistence_rmse,weather_cloudy_smart_persistence_mae,weather_overcast_n,weather_overcast_rmse,weather_overcast_mae,weather_overcast_smart_persistence_rmse,weather_overcast_smart_persistence_mae,weather_partly_cloudy_n,weather_partly_cloudy_rmse,weather_partly_cloudy_mae,weather_partly_cloudy_smart_persistence_rmse,weather_partly_cloudy_smart_persistence_mae,hard_weather_n,hard_weather_rmse,hard_weather_mae,hard_weather_smart_persistence_rmse,hard_weather_smart_persistence_mae,stable_weather_n,stable_weather_rmse,stable_weather_mae,stable_weather_smart_persistence_rmse,stable_weather_smart_persistence_mae
train,1952.2326894076973,3262.4192688915987,36.300973684673934,1821,2026.6844830196044,3430.0750271654633,2499.6252857105605,3706.7763378669088,0.9220208676551346,530.833955219163,567.9304403281554,8979.262953371855,518,1114.376447732486,553.4894504593307,1167.8034588016608,619.5934504710258,346,4793.7822249056035,3445.16440656509,4991.117642720206,3440.0190244566083,823,3111.48803040263,1950.060708124538,3234.7612359389173,2014.8601158061547,134,4586.942636638684,3517.7712284736394,5101.570387283185,3889.30282436012,480,4736.948328389873,3465.43381101456,5022.196788118028,3565.444085263006,1341,2534.0379186892524,1410.5947040450617,2636.014984978562,1475.8980482121226
val,2438.0565104562656,4244.955006165974,-216.6531020850445,372,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.9166666666666666,657.3138332227697,712.4880494246033,10819.122575316323,59,1226.7703496506088,619.6161015637799,1372.4054351951054,734.1587812992193,79,5616.731277066431,3351.5935403849617,5982.17175572876,3359.443863768336,218,4133.8594402238605,2521.664548242433,4261.106804488931,2543.4821192256354,16,4980.532230685893,3493.8069181378396,5575.12946207253,3750.2221221733394,95,5514.723994312855,3375.5452671643934,5915.578924011606,3425.2591493944415,277,3710.726975369821,2116.53509570077,3832.861476178469,2158.102780100514
test,3274.261736231512,5022.2169764225855,144.8396712034481,434,3312.0471407465425,5181.455931818419,3342.1805073698547,5231.9670109932085,0.8755760368663594,748.135210054413,924.079482037154,12999.402720622194,5,4231.792806608624,3804.3439121612237,4425.575285040552,3931.2557213322625,69,6273.246501122283,4693.379893890701,6549.017228374547,4780.5851639386965,354,4707.301476358064,2946.114458588194,4848.076173925351,2975.577799278731,6,7041.784644442201,5873.357157498479,6759.384097190529,5759.543870149537,75,6338.159859851413,4787.778074979324,6566.094607512983,4858.901860435563,359,4701.009082931142,2958.067515044643,4842.444897817307,2988.8880767446576
