epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w
1,-0.5572545190652212,3754.5528653371753,5504.518213461494,-597.197703731494,102,4159.343118106618,5967.940832316512,0.9411764705882353,1136.6697591463412,1048.9200669210736,19249.82199109147
2,-0.8672638376553853,3900.5555028221993,5632.746372556092,1139.6390081526993,102,4159.343118106618,5967.940832316512,0.7941176470588235,990.0953705991222,995.6511898447574,12225.45137909286
3,-0.965538223584493,3790.8792251074165,5522.234939676176,-969.8336320010873,102,4159.343118106618,5967.940832316512,0.7941176470588235,991.1569693219141,927.0311351873135,11860.128806331659
4,-1.0311300039291382,3639.509977512014,5496.6998916601,-769.8683763411964,102,4159.343118106618,5967.940832316512,0.7941176470588235,986.3643739597314,994.9334893011104,11936.457888326739
5,-1.1138995051383973,3647.5907775576147,5455.411883130612,105.84208348188459,102,4159.343118106618,5967.940832316512,0.7450980392156863,1090.0821509977654,924.4759283976332,10658.543045659466
6,-1.1459818085034688,3860.542022072539,5673.1339655396705,976.8825535521177,102,4159.343118106618,5967.940832316512,0.7156862745098039,1099.1758055911807,995.4180007635572,9927.0220921137
7,-1.2578362822532654,4111.300451505884,5782.060335815078,-318.8845729519814,102,4159.343118106618,5967.940832316512,0.7156862745098039,1188.074980731254,995.1460531882695,9330.589890188765
8,-1.2770284255345663,4117.90852141917,5553.028961348626,-925.0494466376372,102,4159.343118106618,5967.940832316512,0.6470588235294118,1126.762284506268,993.8067750587533,8709.855483335903
9,-1.2793527205785116,3793.2370166161177,5538.509561042536,32.78496677098641,102,4159.343118106618,5967.940832316512,0.6862745098039216,1119.81971806914,979.1550409908396,8904.4889912899
10,-1.3684592326482137,4633.796482173032,5874.817778931985,-1010.9663030421361,102,4159.343118106618,5967.940832316512,0.5294117647058824,1274.6447130747842,1033.109026407313,7956.214220028405
11,-1.4195293029149374,4028.212623555198,5620.623177920001,-693.4188144372139,102,4159.343118106618,5967.940832316512,0.5980392156862745,1162.537546510808,1070.3311890035761,7464.301620998191
12,-1.5082286278406778,4000.7770179470135,5573.521906744206,505.87743423312935,102,4159.343118106618,5967.940832316512,0.6176470588235294,1318.2997299058602,1036.0631023158817,7157.457868339555
13,-1.5170204798380533,3891.325285488912,5694.802562847762,-385.9037886744573,102,4159.343118106618,5967.940832316512,0.5784313725490197,1245.5035333593705,1160.9801392032755,6863.109631593647
14,-1.5327552239100137,3962.424185107277,5768.138525400466,-184.66976729855764,102,4159.343118106618,5967.940832316512,0.5294117647058824,1308.9249501034546,1168.4536677261121,6865.745355000926
15,-1.5451274633407592,3796.4956822718227,5593.682399178659,199.61648528085448,102,4159.343118106618,5967.940832316512,0.6078431372549019,1156.7018958198573,1210.6671606440457,6789.106078218222
16,-1.5237690369288126,3900.5972173342584,5759.8592565327135,763.2440839640399,102,4159.343118106618,5967.940832316512,0.6372549019607843,1397.3877437135443,1038.9061810407713,6796.576478434531
17,-1.6319576342900595,4091.5996093603453,5899.835887671545,64.46829622202124,102,4159.343118106618,5967.940832316512,0.5784313725490197,1363.0634575767426,1152.6777747545063,7009.329970001504
